title,company,location,description,salary_predicted,date_posted,category,avg_salary,city,description_clean,sql,python,power bi,tableau,excel,r,spark,aws,azure,snowflake,pandas,matplotlib,seaborn,machine learning,statistics,dax,etl,looker,databricks
Data Analyst with Security Clearance,PlanIT Group LLC,"Grand Prairie, Dallas","We are seeking a skilled Data & AI Specialist to design, develop, and deploy data-driven solutions that leverage artificial intelligence and machine learning. This role bridges data engineering, analytics, and AI model development to deliver actionable insights and scalable intelligent systems that support business objectives. Design, build, and maintain data pipelines and infrastructure to support analytics and AI initiatives Develop, train, and deploy machine learning and AI models for predic…",Yes,"May 25, 2026",IT Jobs,69513.0,Grand Prairie,"we are seeking a skilled data & ai specialist to design, develop, and deploy data-driven solutions that leverage artificial intelligence and machine learning. this role bridges data engineering, analytics, and ai model development to deliver actionable insights and scalable intelligent systems that support business objectives. design, build, and maintain data pipelines and infrastructure to support analytics and ai initiatives develop, train, and deploy machine learning and ai models for predic…",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Data Analyst with Security Clearance,Chenega Corporation,"Fort Sam Houston, Bexar County","Summary C2 ALASKA, LLC San Antonio, TX The Data Analyst supports the Extremity Trauma and Amputation Center of Excellence (EACE) through advanced data analytics, reporting, visualization, and database management activities utilizing multiple Department of Defense healthcare data systems, including the EACE Registry (EACE-R), DoD Trauma Registry/Military Orthopedic Trauma Registry (DoDTR/MOTR), and the Military Health System Data Repository (MDR). The position is responsible for extracting, anal…",Yes,"May 25, 2026",IT Jobs,149603.38,Fort Sam Houston,"summary c2 alaska, llc san antonio, tx the data analyst supports the extremity trauma and amputation center of excellence (eace) through advanced data analytics, reporting, visualization, and database management activities utilizing multiple department of defense healthcare data systems, including the eace registry (eace-r), dod trauma registry/military orthopedic trauma registry (dodtr/motr), and the military health system data repository (mdr). the position is responsible for extracting, anal…",False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Data Analyst with Security Clearance,SOSi,"El Paso, El Paso County","Company Description Founded in 1989, SOSi is among the largest private, founder-owned technology and services integrators in the defense and government services industry. We deliver tailored solutions, tested leadership, and trusted results to enable national security missions worldwide. Job Description Overview SOSi is seeking a Data Analyst to support investigative, compliance, or research-focused initiatives through the use of advanced public records and data tools, including LexisNexis, CLE…",Yes,"May 25, 2026",IT Jobs,81464.4,El Paso,"company description founded in 1989, sosi is among the largest private, founder-owned technology and services integrators in the defense and government services industry. we deliver tailored solutions, tested leadership, and trusted results to enable national security missions worldwide. job description overview sosi is seeking a data analyst to support investigative, compliance, or research-focused initiatives through the use of advanced public records and data tools, including lexisnexis, cle…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
W2 - Jr Data Analyst - Onsite,Cliff Services Inc,"Highland Park, Dallas","Job Title -Data Analyst Banking Domain Location - Dallas, TX , Richmond Va Work Mode -Onsite (5 days a week) Interview Process -In-Person Interview Role Overview We are seeking a skilled Data Analyst to support a Banking Domain client by analyzing large datasets, building interactive dashboards, and delivering actionable insights to business stakeholders. The ideal candidate will have strong hands-on experience with Tableau, SQL, and AWS, along with a solid understanding of banking data and rep…",Yes,"May 20, 2026",IT Jobs,74576.85,Highland Park,"job title -data analyst banking domain location - dallas, tx , richmond va work mode -onsite (5 days a week) interview process -in-person interview role overview we are seeking a skilled data analyst to support a banking domain client by analyzing large datasets, building interactive dashboards, and delivering actionable insights to business stakeholders. the ideal candidate will have strong hands-on experience with tableau, sql, and aws, along with a solid understanding of banking data and rep…",True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
"SAS Data Analyst - ( Python, SQL )",Newt Global,"Irving, Dallas","Job Title: Data Analyst - SAS , Python, SQL Location: Irving,TX - Onsite ( Local to Texas Only ) Fulltime ( No H1b ) Job Summary: Analytical & Interpersonal Skills Ability to identify, clearly articulate and solve complex business problems and present them to the management in a structured and simpler form Data analysis, Data profiling, Data Management skills MIS reporting and generate actionable Business Insights Should have excellent communication and inter-personal skills Good process manage…",Yes,"March 30, 2026",IT Jobs,82685.75,Irving,"job title: data analyst - sas , python, sql location: irving,tx - onsite ( local to texas only ) fulltime ( no h1b ) job summary: analytical & interpersonal skills ability to identify, clearly articulate and solve complex business problems and present them to the management in a structured and simpler form data analysis, data profiling, data management skills mis reporting and generate actionable business insights should have excellent communication and inter-personal skills good process manage…",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Procurement Systems Data Analyst-2,"QTS Realty Trust , Inc.","Irving, Dallas","The Procurement Systems Data Analyst plays a crucial role in supporting day-to-day operations and future-state procurement initiatives by influencing strategic decisions through data-driven analytics and collaboration. As a Procurement Systems Data Analyst, you will be responsible for maintaining the vital integrity of data which drives business efficiency, while synchronously providing proactive communication, problem-solving abilities, and ownership. The ideal candidate will possess a combina…",Yes,"April 29, 2026",IT Jobs,88356.45,Irving,"the procurement systems data analyst plays a crucial role in supporting day-to-day operations and future-state procurement initiatives by influencing strategic decisions through data-driven analytics and collaboration. as a procurement systems data analyst, you will be responsible for maintaining the vital integrity of data which drives business efficiency, while synchronously providing proactive communication, problem-solving abilities, and ownership. the ideal candidate will possess a combina…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Junior Data Analyst with Security Clearance,steampunk,"El Paso, El Paso County","Overview We are looking for you to join our team as a Data Analyst. This position focuses on data analysis for law enforcement support, requiring a combination of investigative data expertise, analytical skills, and the ability to work under high-pressure, mission-critical environments. This role will involve working with diverse data sets, ensuring accuracy and integrity while supporting ongoing criminal and civil investigations. Our ideal candidate has a blend of technical acumen, attention t…",Yes,"May 25, 2026",IT Jobs,69408.14,El Paso,"overview we are looking for you to join our team as a data analyst. this position focuses on data analysis for law enforcement support, requiring a combination of investigative data expertise, analytical skills, and the ability to work under high-pressure, mission-critical environments. this role will involve working with diverse data sets, ensuring accuracy and integrity while supporting ongoing criminal and civil investigations. our ideal candidate has a blend of technical acumen, attention t…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Senior Data Analyst with Security Clearance,The Tatitlek Corporation,"Fort Worth, Tarrant County","Overview UNITED STATES CITIZENSHIP REQUIRED Overview Tatitlek provides Information Technology Operations and Maintenance Support (ITO&MS) for the BEP Chief Information Officer (CIO) Directorate's Office of Information Technology Operations (OITO) in support of BEP's printing services mission. These services are provided 24/7. We are seeking a Senior Data Analyst to support leadership in making informed, data-driven decisions. This role will focus on analyzing operational and performance data, d…",Yes,"May 25, 2026",IT Jobs,120817.44,Fort Worth,"overview united states citizenship required overview tatitlek provides information technology operations and maintenance support (ito&ms) for the bep chief information officer (cio) directorate's office of information technology operations (oito) in support of bep's printing services mission. these services are provided 24/7. we are seeking a senior data analyst to support leadership in making informed, data-driven decisions. this role will focus on analyzing operational and performance data, d…",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Metric & Data Analyst with Security Clearance,Lockheed Martin,"Grand Prairie, Dallas","Job Number 726339BR Description: What You Will Be Doing The Metric & Data Analyst serves as the organization's data translator, turning raw, often-disparate data sets into intuitive, interactive visualizations that drive decision-making. Your responsibilities will include, but are not limited to: - Design, build, and maintain end-to-end Tableau solutions - Define, track, and evolve key performance indicators (KPIs) - Perform data-driven analysis - Present findings in stakeholder-friendly format…",Yes,"May 25, 2026",Engineering Jobs,106332.93,Grand Prairie,"job number 726339br description: what you will be doing the metric & data analyst serves as the organization's data translator, turning raw, often-disparate data sets into intuitive, interactive visualizations that drive decision-making. your responsibilities will include, but are not limited to: - design, build, and maintain end-to-end tableau solutions - define, track, and evolve key performance indicators (kpis) - perform data-driven analysis - present findings in stakeholder-friendly format…",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Information Technology Data Analyst Lead - Health Outcomes,ChristusHealth.,"Irving, Dallas","Description Summary: The Information Technology Data Analyst Lead is responsible conducting full lifecycle analysis to include requirements, design, documentation, testing and validation to support the implementation of data and analytics solutions. Data Analyst must have expertise in methodology, design, specifications, programming, delivery, monitoring, and support standards leading to development of data and analytics solutions. SQL querying experience in a range of databases such as transac…",Yes,"May 28, 2026",IT Jobs,85879.52,Irving,"description summary: the information technology data analyst lead is responsible conducting full lifecycle analysis to include requirements, design, documentation, testing and validation to support the implementation of data and analytics solutions. data analyst must have expertise in methodology, design, specifications, programming, delivery, monitoring, and support standards leading to development of data and analytics solutions. sql querying experience in a range of databases such as transac…",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
